keyword,count,sentiment,segment
service,416,Negative,Not Recommended
class,366,Negative,Not Recommended
seat,359,Negative,Not Recommended
food,316,Negative,Not Recommended
business,311,Negative,Not Recommended
seats,297,Negative,Not Recommended
cabin,279,Negative,Not Recommended
crew,274,Negative,Not Recommended
staff,240,Negative,Not Recommended
one,223,Negative,Not Recommended
time,215,Negative,Not Recommended
would,202,Negative,Not Recommended
economy,200,Negative,Not Recommended
first,200,Negative,Not Recommended
passengers,184,Negative,Not Recommended
poor,179,Negative,Not Recommended
hours,173,Negative,Not Recommended
get,162,Negative,Not Recommended
even,157,Negative,Not Recommended
club,143,Negative,Not Recommended
service,20,Neutral,Not Recommended
seats,11,Neutral,Not Recommended
served,9,Neutral,Not Recommended
crew,9,Neutral,Not Recommended
seat,9,Neutral,Not Recommended
cabin,9,Neutral,Not Recommended
food,9,Neutral,Not Recommended
business,8,Neutral,Not Recommended
class,8,Neutral,Not Recommended
meal,8,Neutral,Not Recommended
time,8,Neutral,Not Recommended
would,8,Neutral,Not Recommended
good,8,Neutral,Not Recommended
could,7,Neutral,Not Recommended
return,7,Neutral,Not Recommended
staff,6,Neutral,Not Recommended
get,6,Neutral,Not Recommended
one,6,Neutral,Not Recommended
drinks,6,Neutral,Not Recommended
flying,6,Neutral,Not Recommended
service,270,Positive,Not Recommended
seat,267,Positive,Not Recommended
class,240,Positive,Not Recommended
crew,226,Positive,Not Recommended
food,225,Positive,Not Recommended
business,204,Positive,Not Recommended
seats,193,Positive,Not Recommended
time,183,Positive,Not Recommended
cabin,183,Positive,Not Recommended
one,180,Positive,Not Recommended
economy,165,Positive,Not Recommended
would,153,Positive,Not Recommended
get,152,Positive,Not Recommended
staff,143,Positive,Not Recommended
good,139,Positive,Not Recommended
first,119,Positive,Not Recommended
meal,113,Positive,Not Recommended
lounge,107,Positive,Not Recommended
could,107,Positive,Not Recommended
boarding,107,Positive,Not Recommended
